objectid,name_std,acreage,year,raw_excerpt
307,Alexander Patton,400.0,1746.0,400a on the Brs. of Stocktons br. of Mechams Riv. & on the brs. of Rock fish River
308,William Keaton,331.0,1747.0,331a Louisa County on both sides of the S Fork of Rockey Creek
309,William Lucas Junr.,77.0,1747.0,77a Louisa County on one of the Little Mountains
310,James Henderson,132.0,1747.0,132a ABCo. on the S Side of the Rivanna on the brs. of Meadow Creek
311,John Carr,290.0,1747.0,290a Louisa Co. on the S or W side of the North fork of James River
312,David Kinkead,400.0,1747.0,400a ABCo. on the Brs. of Stockton's Br.
313,Rev. William Stith,2470.0,1747.0,2470a Albemarle County on the North side the Fluvanna on both sides Ballengers and Totier Creek commonly known by the Name of Rock Field
314,Hugh Morris,400.0,1747.0,400a Goochland County on the Branches of Totier
315,Hugh Rice Morris,200.0,1747.0,200a Goochland County on the Branches of Totier
316,David Rees,400.0,1747.0,400a Albemarle County on the south side the Rivanna on the Branches of Moores Creek
317,John Harris,273.0,1747.0,273a Albemarle County on the S side the Rivanna on both sides Moores Creek
318,Robert Mackneely,200.0,1747.0,200a Albemarle County on both sides of Mechums River
319,John Dickey,200.0,1747.0,200a Albemarle County on the Branches of Mechums River
320,Joseph Fitzpatrick,180.0,1747.0,180a Albemarle County on the Branches of Hardway River
321,Charles Lynch,400.0,1747.0,400 ac branches of Mecham's River (so. fork)
322,Thomas Fitzpatrick,276.0,1747.0,276a ABCo. on the brs. of Hardway River
323,George Davison,250.0,1747.0,250a ABCo. on Grannies Hill
324,Samuel Jemmerson,300.0,1747.0,300a ABCo. on the Brs. of Spring Creek
